Year,Species,Weight,Value
1997,Crab,41306361,37860607
1998,Crab,26218865,30628487
1999,Crab,32124202,34519954
2000,Crab,21661198,30088219
2001,Crab,25933000,34681000
2002,Crab,26481000,30338000
2003,Crab,27816000,34532000
2004,Crab,33826000,39104000
2005,Crab,34914000,39962000
2006,Crab,29446000,31141000
2007,Crab,30784000,41700000
2008,Crab,34872000,50115000
2009,Crab,38800803,52049315
2010,Crab,66611031,66611031
2011,Crab,50019015,50019015
2012,Crab,42690146,59369462
2013,Crab,24179216,49955586
1997,Finfish,14970099,7964519
1998,Finfish,15671683,8558511
1999,Finfish,1579018,9154378
2000,Finfish,12550847,7457195
2001,Finfish,16089000,8574000
2002,Finfish,15275000,8135000
2003,Finfish,13468000,8095000
2004,Finfish,8055000,4670000
2005,Finfish,25000000,10766000
2006,Finfish,12719000,9896000
2007,Finfish,21785000,12410000
2008,Finfish,18773000,11300000
2009,Finfish,2812222,5180445
2010,Finfish,2548794,5530826
2011,Finfish,2343753,5610231
2012,Finfish,2524181,6898085
2013,Finfish,2018231,9930965
1997,Oyster,1507850,4709785
1998,Oyster,2452291,7599078
1999,Oyster,2464032,6952100
2000,Oyster,2365160,7154260
2001,Oyster,1274000,3789000
2002,Oyster,567000,2172000
2003,Oyster,159000,706000
2004,Oyster,43000,181000
2005,Oyster,738000,3435000
2006,Oyster,274000,1238000
2007,Oyster,317000,3146000
2008,Oyster,249000,2277000
2009,Oyster,497980,3849000
2010,Oyster,430001,4361463
2011,Oyster,,
2012,Oyster,,
2013,Oyster,787889,7356746
1997,Clam,252231,1680477
1998,Clam,227936,1532017
1999,Clam,147930,1010636
2000,Clam,169280,1378284
2001,Clam,11911000,8073000
2002,Clam,10663000,8002000
2003,Clam,7527000,5170000
2004,Clam,7270000,4654000
2005,Clam,6112000,4784000
2006,Clam,7756000,4889000
2007,Clam,7947000,5074000
2008,Clam,8600000,5436000
2009,Clam,6291808,4402816
2010,Clam,6939580,5200043
2011,Clam,3012672,1924384
2012,Clam,1905632,1365088
2013,Clam,607104,359040
